date,date_frac,m.y,country,code,cases,outbreak
01/07/2014,2014.495562,Jul.14,Dominican Republic,DOM,142482,
01/08/2014,2014.580437,Aug.14,Dominican Republic,DOM,121559,
01/09/2014,2014.665312,Sep.14,Dominican Republic,DOM,56898,
01/10/2014,2014.747449,Oct.14,Dominican Republic,DOM,0,
01/11/2014,2014.832324,Nov.14,Dominican Republic,DOM,12610,
01/12/2014,2014.914462,Dec.14,Dominican Republic,DOM,25381,
01/01/2015,2015,Jan.15,Dominican Republic,DOM,14802,
01/02/2015,2015.084875,Feb.15,Dominican Republic,DOM,0,
01/03/2015,2015.161537,Mar.15,Dominican Republic,DOM,39,
01/04/2015,2015.246412,Apr.15,Dominican Republic,DOM,6,
01/05/2015,2015.328549,May.15,Dominican Republic,DOM,14,
01/06/2015,2015.413424,Jun.15,Dominican Republic,DOM,0,e
01/07/2015,2015.495562,Jul.15,Dominican Republic,DOM,4,
01/08/2015,2015.580437,Aug.15,Dominican Republic,DOM,4,
01/09/2015,2015.665312,Sep.15,Dominican Republic,DOM,0,
01/10/2015,2015.747449,Oct.15,Dominican Republic,DOM,0,
01/11/2015,2015.832324,Nov.15,Dominican Republic,DOM,0,
01/12/2015,2015.914462,Dec.15,Dominican Republic,DOM,0,
01/01/2016,2016,Jan.16,Dominican Republic,DOM,0,
01/02/2016,2016.084875,Feb.16,Dominican Republic,DOM,0,
01/03/2016,2016.164275,Mar.16,Dominican Republic,DOM,0,
01/04/2016,2016.24915,Apr.16,Dominican Republic,DOM,0,
01/05/2016,2016.331287,May.16,Dominican Republic,DOM,0,
01/06/2016,2016.416162,Jun.16,Dominican Republic,DOM,0,
01/07/2016,2016.498299,Jul.16,Dominican Republic,DOM,112,
01/08/2016,2016.583175,Aug.16,Dominican Republic,DOM,0,
01/09/2016,2016.66805,Sep.16,Dominican Republic,DOM,0,
01/10/2016,2016.750187,Oct.16,Dominican Republic,DOM,0,
01/11/2016,2016.835062,Nov.16,Dominican Republic,DOM,0,
01/12/2016,2016.9172,Dec.16,Dominican Republic,DOM,0,
01/12/2013,2013.914462,Dec.13,El Salvador,SLV,0,
01/01/2014,2014,Jan.14,El Salvador,SLV,0,
01/02/2014,2014.084875,Feb.14,El Salvador,SLV,0,
01/03/2014,2014.161537,Mar.14,El Salvador,SLV,0,
01/04/2014,2014.246412,Apr.14,El Salvador,SLV,0,
01/05/2014,2014.328549,May.14,El Salvador,SLV,4,
01/06/2014,2014.413424,Jun.14,El Salvador,SLV,240,
01/07/2014,2014.495562,Jul.14,El Salvador,SLV,0,
01/08/2014,2014.580437,Aug.14,El Salvador,SLV,0,
01/09/2014,2014.665312,Sep.14,El Salvador,SLV,90,
01/10/2014,2014.747449,Oct.14,El Salvador,SLV,0,
01/11/2014,2014.832324,Nov.14,El Salvador,SLV,543,
01/12/2014,2014.914462,Dec.14,El Salvador,SLV,0,s
01/01/2015,2015,Jan.15,El Salvador,SLV,6,
01/02/2015,2015.084875,Feb.15,El Salvador,SLV,0,
01/03/2015,2015.161537,Mar.15,El Salvador,SLV,0,
01/04/2015,2015.246412,Apr.15,El Salvador,SLV,0,
01/05/2015,2015.328549,May.15,El Salvador,SLV,0,
01/06/2015,2015.413424,Jun.15,El Salvador,SLV,4583,
01/07/2015,2015.495562,Jul.15,El Salvador,SLV,9742,
01/08/2015,2015.580437,Aug.15,El Salvador,SLV,10349,
01/09/2015,2015.665312,Sep.15,El Salvador,SLV,5548,
01/10/2015,2015.747449,Oct.15,El Salvador,SLV,0,
01/11/2015,2015.832324,Nov.15,El Salvador,SLV,0,
01/12/2015,2015.914462,Dec.15,El Salvador,SLV,0,
01/01/2016,2016,Jan.16,El Salvador,SLV,0,
01/02/2016,2016.084875,Feb.16,El Salvador,SLV,0,
01/03/2016,2016.164275,Mar.16,El Salvador,SLV,0,e
01/04/2016,2016.24915,Apr.16,El Salvador,SLV,0,
01/05/2016,2016.331287,May.16,El Salvador,SLV,0,
01/06/2016,2016.416162,Jun.16,El Salvador,SLV,0,
01/07/2016,2016.498299,Jul.16,El Salvador,SLV,0,
01/08/2016,2016.583175,Aug.16,El Salvador,SLV,0,
01/09/2016,2016.66805,Sep.16,El Salvador,SLV,0,
01/11/2016,2016.835062,Nov.16,El Salvador,SLV,90,
01/12/2016,2016.9172,Dec.16,El Salvador,SLV,0,
01/12/2016,2016.9172,Dec.16,El Salvador,SLV,121,
01/01/2017,2017,Jan.17,El Salvador,SLV,26,
01/02/2017,2017.084875,Feb.17,El Salvador,SLV,33,
01/03/2017,2017.161537,Mar.17,El Salvador,SLV,106,
01/04/2017,2017.246412,Apr.17,El Salvador,SLV,45,
01/05/2017,2017.328549,May.17,El Salvador,SLV,0,
01/05/2017,2017.328549,May.17,El Salvador,SLV,39,
01/06/2017,2017.413424,Jun.17,El Salvador,SLV,85,
01/07/2017,2017.495562,Jul.17,El Salvador,SLV,48,
01/08/2017,2017.580437,Aug.17,El Salvador,SLV,30,
01/09/2017,2017.665312,Sep.17,El Salvador,SLV,57,
01/10/2017,2017.747449,Oct.17,El Salvador,SLV,48,
01/11/2017,2017.832324,Nov.17,El Salvador,SLV,31,
01/12/2017,2017.914462,Dec.17,El Salvador,SLV,33,
01/12/2013,2013.914462,Dec.13,Haiti,HTI,0,
01/01/2014,2014,Jan.14,Haiti,HTI,0,s
01/02/2014,2014.084875,Feb.14,Haiti,HTI,0,
01/03/2014,2014.161537,Mar.14,Haiti,HTI,0,
01/04/2014,2014.246412,Apr.14,Haiti,HTI,0,
01/05/2014,2014.328549,May.14,Haiti,HTI,6318,
01/06/2014,2014.413424,Jun.14,Haiti,HTI,45526,
01/07/2014,2014.495562,Jul.14,Haiti,HTI,12865,
01/08/2014,2014.580437,Aug.14,Haiti,HTI,0,
01/09/2014,2014.665312,Sep.14,Haiti,HTI,0,
01/10/2014,2014.747449,Oct.14,Haiti,HTI,0,
01/11/2014,2014.832324,Nov.14,Haiti,HTI,0,e
01/12/2014,2014.914462,Dec.14,Haiti,HTI,0,
01/01/2015,2015,Jan.15,Haiti,HTI,0,
01/02/2015,2015.084875,Feb.15,Haiti,HTI,0,
01/03/2015,2015.161537,Mar.15,Haiti,HTI,0,
01/04/2015,2015.246412,Apr.15,Haiti,HTI,0,
01/05/2015,2015.328549,May.15,Haiti,HTI,0,
01/06/2015,2015.413424,Jun.15,Haiti,HTI,0,
01/07/2015,2015.495562,Jul.15,Haiti,HTI,0,
01/08/2015,2015.580437,Aug.15,Haiti,HTI,0,
01/09/2015,2015.665312,Sep.15,Haiti,HTI,0,
01/10/2015,2015.747449,Oct.15,Haiti,HTI,0,
01/11/2015,2015.832324,Nov.15,Haiti,HTI,0,
01/12/2015,2015.914462,Dec.15,Haiti,HTI,0,
01/01/2016,2016,Jan.16,Haiti,HTI,0,
01/02/2016,2016.084875,Feb.16,Haiti,HTI,0,
01/03/2016,2016.164275,Mar.16,Haiti,HTI,0,
01/04/2016,2016.24915,Apr.16,Haiti,HTI,3,
01/05/2016,2016.331287,May.16,Haiti,HTI,0,
01/06/2016,2016.416162,Jun.16,Haiti,HTI,0,
01/07/2016,2016.498299,Jul.16,Haiti,HTI,0,
01/08/2016,2016.583175,Aug.16,Haiti,HTI,0,
01/09/2016,2016.66805,Sep.16,Haiti,HTI,0,
01/10/2016,2016.750187,Oct.16,Haiti,HTI,0,
01/11/2016,2016.835062,Nov.16,Haiti,HTI,0,
01/12/2016,2016.9172,Dec.16,Haiti,HTI,0,
01/12/2013,2013.914462,Dec.13,Jamaica,JAM,0,
01/01/2014,2014,Jan.14,Jamaica,JAM,0,
01/02/2014,2014.084875,Feb.14,Jamaica,JAM,0,
01/03/2014,2014.161537,Mar.14,Jamaica,JAM,0,s
01/04/2014,2014.246412,Apr.14,Jamaica,JAM,0,
01/05/2014,2014.328549,May.14,Jamaica,JAM,0,
01/06/2014,2014.413424,Jun.14,Jamaica,JAM,0,
01/07/2014,2014.495562,Jul.14,Jamaica,JAM,0,
01/08/2014,2014.580437,Aug.14,Jamaica,JAM,0,
01/09/2014,2014.665312,Sep.14,Jamaica,JAM,0,
01/10/2014,2014.747449,Oct.14,Jamaica,JAM,0,
01/11/2014,2014.832324,Nov.14,Jamaica,JAM,1390,
01/12/2014,2014.914462,Dec.14,Jamaica,JAM,2691,
01/01/2015,2015,Jan.15,Jamaica,JAM,1266,
01/02/2015,2015.084875,Feb.15,Jamaica,JAM,1556,
01/03/2015,2015.161537,Mar.15,Jamaica,JAM,0,
01/04/2015,2015.246412,Apr.15,Jamaica,JAM,0,
01/05/2015,2015.328549,May.15,Jamaica,JAM,50,
01/06/2015,2015.413424,Jun.15,Jamaica,JAM,0,e
01/07/2015,2015.495562,Jul.15,Jamaica,JAM,0,
01/08/2015,2015.580437,Aug.15,Jamaica,JAM,0,
01/09/2015,2015.665312,Sep.15,Jamaica,JAM,0,
01/10/2015,2015.747449,Oct.15,Jamaica,JAM,0,
01/11/2015,2015.832324,Nov.15,Jamaica,JAM,0,
01/12/2015,2015.914462,Dec.15,Jamaica,JAM,0,
01/01/2016,2016,Jan.16,Jamaica,JAM,0,
01/02/2016,2016.084875,Feb.16,Jamaica,JAM,0,
01/03/2016,2016.164275,Mar.16,Jamaica,JAM,0,
01/04/2016,2016.24915,Apr.16,Jamaica,JAM,0,
01/05/2016,2016.331287,May.16,Jamaica,JAM,0,
01/06/2016,2016.416162,Jun.16,Jamaica,JAM,205,
01/07/2016,2016.498299,Jul.16,Jamaica,JAM,0,
01/08/2016,2016.583175,Aug.16,Jamaica,JAM,0,
01/09/2016,2016.66805,Sep.16,Jamaica,JAM,0,
01/10/2016,2016.750187,Oct.16,Jamaica,JAM,0,
01/11/2016,2016.835062,Nov.16,Jamaica,JAM,0,
01/12/2016,2016.9172,Dec.16,Jamaica,JAM,0,
01/02/2017,2017.084875,Feb.17,Jamaica,JAM,0,
01/12/2013,2013.914462,Dec.13,Mexico,MEX,0,
01/01/2014,2014,Jan.14,Mexico,MEX,0,
01/02/2014,2014.084875,Feb.14,Mexico,MEX,0,
01/03/2014,2014.161537,Mar.14,Mexico,MEX,0,
01/04/2014,2014.246412,Apr.14,Mexico,MEX,0,
01/05/2014,2014.328549,May.14,Mexico,MEX,0,
01/06/2014,2014.413424,Jun.14,Mexico,MEX,0,s
01/07/2014,2014.495562,Jul.14,Mexico,MEX,0,
01/08/2014,2014.580437,Aug.14,Mexico,MEX,0,
01/09/2014,2014.665312,Sep.14,Mexico,MEX,0,
01/10/2014,2014.747449,Oct.14,Mexico,MEX,13,
01/11/2014,2014.832324,Nov.14,Mexico,MEX,0,
01/12/2014,2014.914462,Dec.14,Mexico,MEX,60,
01/01/2015,2015,Jan.15,Mexico,MEX,46,
01/02/2015,2015.084875,Feb.15,Mexico,MEX,12,
01/03/2015,2015.161537,Mar.15,Mexico,MEX,217,
01/04/2015,2015.246412,Apr.15,Mexico,MEX,448,
01/05/2015,2015.328549,May.15,Mexico,MEX,260,
01/06/2015,2015.413424,Jun.15,Mexico,MEX,424,
01/07/2015,2015.495562,Jul.15,Mexico,MEX,1057,
01/08/2015,2015.580437,Aug.15,Mexico,MEX,1924,
01/09/2015,2015.665312,Sep.15,Mexico,MEX,2843,
01/10/2015,2015.747449,Oct.15,Mexico,MEX,1587,
01/11/2015,2015.832324,Nov.15,Mexico,MEX,1760,
01/12/2015,2015.914462,Dec.15,Mexico,MEX,708,
01/01/2016,2016,Jan.16,Mexico,MEX,116,
01/02/2016,2016.084875,Feb.16,Mexico,MEX,73,
01/03/2016,2016.164275,Mar.16,Mexico,MEX,102,
01/04/2016,2016.24915,Apr.16,Mexico,MEX,84,
01/05/2016,2016.331287,May.16,Mexico,MEX,18,
01/06/2016,2016.416162,Jun.16,Mexico,MEX,25,
01/11/2016,2016.835062,Nov.16,Mexico,MEX,87,
01/12/2016,2016.9172,Dec.16,Mexico,MEX,51,
01/01/2017,2017,Jan.17,Mexico,MEX,0,
01/02/2017,2017.084875,Feb.17,Mexico,MEX,0,e
01/02/2017,2017.084875,Feb.17,Mexico,MEX,6,
01/03/2017,2017.161537,Mar.17,Mexico,MEX,2,
01/04/2017,2017.246412,Apr.17,Mexico,MEX,2,
01/05/2017,2017.328549,May.17,Mexico,MEX,5,
01/06/2017,2017.413424,Jun.17,Mexico,MEX,2,
01/07/2017,2017.495562,Jul.17,Mexico,MEX,2,
01/08/2017,2017.580437,Aug.17,Mexico,MEX,3,
01/09/2017,2017.665312,Sep.17,Mexico,MEX,2,
01/10/2017,2017.747449,Oct.17,Mexico,MEX,4,
01/11/2017,2017.832324,Nov.17,Mexico,MEX,8,
01/12/2017,2017.914462,Dec.17,Mexico,MEX,20,
01/12/2013,2013.914462,Dec.13,Panama,PAN,0,
01/01/2014,2014,Jan.14,Panama,PAN,0,
01/02/2014,2014.084875,Feb.14,Panama,PAN,0,
01/03/2014,2014.161537,Mar.14,Panama,PAN,0,
01/04/2014,2014.246412,Apr.14,Panama,PAN,0,
01/05/2014,2014.328549,May.14,Panama,PAN,0,
01/06/2014,2014.413424,Jun.14,Panama,PAN,0,
01/07/2014,2014.495562,Jul.14,Panama,PAN,0,
01/08/2014,2014.580437,Aug.14,Panama,PAN,0,
01/09/2014,2014.665312,Sep.14,Panama,PAN,0,
01/10/2014,2014.747449,Oct.14,Panama,PAN,0,
01/11/2014,2014.832324,Nov.14,Panama,PAN,0,
01/12/2014,2014.914462,Dec.14,Panama,PAN,0,
01/01/2015,2015,Jan.15,Panama,PAN,0,
01/02/2015,2015.084875,Feb.15,Panama,PAN,0,
01/03/2015,2015.161537,Mar.15,Panama,PAN,0,
01/04/2015,2015.246412,Apr.15,Panama,PAN,0,
01/05/2015,2015.328549,May.15,Panama,PAN,0,
01/06/2015,2015.413424,Jun.15,Panama,PAN,5,
01/07/2015,2015.495562,Jul.15,Panama,PAN,8,
01/08/2015,2015.580437,Aug.15,Panama,PAN,127,
01/09/2015,2015.665312,Sep.15,Panama,PAN,0,
01/10/2015,2015.747449,Oct.15,Panama,PAN,8,
01/11/2015,2015.832324,Nov.15,Panama,PAN,0,
01/12/2015,2015.914462,Dec.15,Panama,PAN,6,
01/01/2016,2016,Jan.16,Panama,PAN,5,
01/02/2016,2016.084875,Feb.16,Panama,PAN,1,s
01/03/2016,2016.164275,Mar.16,Panama,PAN,1,
01/04/2016,2016.24915,Apr.16,Panama,PAN,3,
01/05/2016,2016.331287,May.16,Panama,PAN,1,
01/06/2016,2016.416162,Jun.16,Panama,PAN,0,
01/07/2016,2016.498299,Jul.16,Panama,PAN,0,
01/08/2016,2016.583175,Aug.16,Panama,PAN,0,
01/09/2016,2016.66805,Sep.16,Panama,PAN,0,
01/11/2016,2016.835062,Nov.16,Panama,PAN,0,
