"","scenario","run","realyear","country","catchmentID","unpruned","pruned","averted","cum_vacc","cum_totvacc","cum_totaver_spillover","vaccinated_infected","spillover","h2h"
"101",1,"run19",1,"Nigeria","NGA.12_1",29656,29656,0,53.271,53.271,0,53.271,27734,1922
"102",1,"run19",2,"Nigeria","NGA.12_1",29618,29618,0,53.2476,106.5186,0,106.5186,27734,1884
"103",1,"run19",3,"Nigeria","NGA.12_1",29574,29574,0,53.0676,159.5862,0,159.5862,27734,1840
"104",1,"run19",4,"Nigeria","NGA.12_1",29622,29622,0,53.0604,212.6466,0,212.6466,27734,1888
"105",1,"run19",5,"Nigeria","NGA.12_1",29645,29645,0,53.2314,265.878,0,265.878,27734,1911
"106",1,"run19",6,"Nigeria","NGA.12_1",29583,29583,0,53.0316,318.9096,0,318.9096,27734,1849
"107",1,"run19",7,"Nigeria","NGA.12_1",29545,29545,0,52.9848,371.8944,0,371.8944,27734,1811
"108",1,"run19",8,"Nigeria","NGA.12_1",29593,29593,0,53.1774,425.0718,0,425.0718,27734,1859
"109",1,"run19",9,"Nigeria","NGA.12_1",29512,29512,0,53.0802,478.152,0,478.152,27734,1778
"110",1,"run19",10,"Nigeria","NGA.12_1",29598,29598,0,53.1234,531.2754,0,531.2754,27734,1864
"111",1,"run2",1,"Nigeria","NGA.12_1",25231,25231,0,45.3096,45.3096,0,45.3096,23626,1605
"112",1,"run2",2,"Nigeria","NGA.12_1",25160,25160,0,45.0504,90.36,0,90.36,23626,1534
"113",1,"run2",3,"Nigeria","NGA.12_1",25165,25165,0,45.0504,135.4104,0,135.4104,23626,1539
"114",1,"run2",4,"Nigeria","NGA.12_1",25205,25205,0,45.1728,180.5832,0,180.5832,23626,1579
"115",1,"run2",5,"Nigeria","NGA.12_1",25106,25106,0,44.9406,225.5238,0,225.5238,23626,1480
"116",1,"run2",6,"Nigeria","NGA.12_1",25166,25166,0,45.1134,270.6372,0,270.6372,23626,1540
"117",1,"run2",7,"Nigeria","NGA.12_1",25217,25217,0,45.1998,315.837,0,315.837,23626,1591
"118",1,"run2",8,"Nigeria","NGA.12_1",25236,25236,0,45.3114,361.1484,0,361.1484,23626,1610
"119",1,"run2",9,"Nigeria","NGA.12_1",25273,25273,0,45.3384,406.4868,0,406.4868,23626,1647
"120",1,"run2",10,"Nigeria","NGA.12_1",25219,25219,0,45.297,451.7838,0,451.7838,23626,1593
"121",1,"run20",1,"Nigeria","NGA.12_1",29724,29724,0,53.4348,53.4348,0,53.4348,27859,1865
"122",1,"run20",2,"Nigeria","NGA.12_1",29733,29733,0,53.4672,106.902,0,106.902,27859,1874
"123",1,"run20",3,"Nigeria","NGA.12_1",29698,29698,0,53.3844,160.2864,0,160.2864,27859,1839
"124",1,"run20",4,"Nigeria","NGA.12_1",29734,29734,0,53.3394,213.6258,0,213.6258,27859,1875
"125",1,"run20",5,"Nigeria","NGA.12_1",29697,29697,0,53.2584,266.8842,0,266.8842,27859,1838
"126",1,"run20",6,"Nigeria","NGA.12_1",29714,29714,0,53.3358,320.22,0,320.22,27859,1855
"127",1,"run20",7,"Nigeria","NGA.12_1",29718,29718,0,53.3718,373.5918,0,373.5918,27859,1859
"128",1,"run20",8,"Nigeria","NGA.12_1",29765,29765,0,53.4402,427.032,0,427.032,27859,1906
"129",1,"run20",9,"Nigeria","NGA.12_1",29712,29712,0,53.2188,480.2508,0,480.2508,27859,1853
"130",1,"run20",10,"Nigeria","NGA.12_1",29767,29767,0,53.4564,533.7072,0,533.7072,27859,1908
"131",1,"run21",1,"Nigeria","NGA.12_1",29796,29796,0,53.4654,53.4654,0,53.4654,27981,1815
"132",1,"run21",2,"Nigeria","NGA.12_1",29812,29812,0,53.5482,107.0136,0,107.0136,27981,1831
"133",1,"run21",3,"Nigeria","NGA.12_1",29819,29819,0,53.5932,160.6068,0,160.6068,27981,1838
"134",1,"run21",4,"Nigeria","NGA.12_1",29819,29819,0,53.442,214.0488,0,214.0488,27981,1838
"135",1,"run21",5,"Nigeria","NGA.12_1",29823,29823,0,53.5572,267.606,0,267.606,27981,1842
"136",1,"run21",6,"Nigeria","NGA.12_1",29875,29875,0,53.6472,321.2532,0,321.2532,27981,1894
"137",1,"run21",7,"Nigeria","NGA.12_1",29902,29902,0,53.685,374.9382,0,374.9382,27981,1921
"138",1,"run21",8,"Nigeria","NGA.12_1",29927,29927,0,53.775,428.7132,0,428.7132,27981,1946
"139",1,"run21",9,"Nigeria","NGA.12_1",29864,29864,0,53.6184,482.3316,0,482.3316,27981,1883
"140",1,"run21",10,"Nigeria","NGA.12_1",29878,29878,0,53.622,535.9536,0,535.9536,27981,1897
"141",1,"run22",1,"Nigeria","NGA.12_1",30011,30011,0,53.8236,53.8236,0,53.8236,28099,1912
"142",1,"run22",2,"Nigeria","NGA.12_1",29971,29971,0,53.7876,107.6112,0,107.6112,28099,1872
"143",1,"run22",3,"Nigeria","NGA.12_1",29982,29982,0,53.7876,161.3988,0,161.3988,28099,1883
"144",1,"run22",4,"Nigeria","NGA.12_1",29999,29999,0,53.9046,215.3034,0,215.3034,28099,1900
"145",1,"run22",5,"Nigeria","NGA.12_1",30022,30022,0,53.8992,269.2026,0,269.2026,28099,1923
"146",1,"run22",6,"Nigeria","NGA.12_1",29936,29936,0,53.7912,322.9938,0,322.9938,28099,1837
"147",1,"run22",7,"Nigeria","NGA.12_1",30001,30001,0,53.9064,376.9002,0,376.9002,28099,1902
"148",1,"run22",8,"Nigeria","NGA.12_1",30091,30091,0,54.0036,430.9038,0,430.9038,28099,1992
"149",1,"run22",9,"Nigeria","NGA.12_1",30088,30088,0,53.9838,484.8876,0,484.8876,28099,1989
"150",1,"run22",10,"Nigeria","NGA.12_1",29984,29984,0,53.8362,538.7238,0,538.7238,28099,1885
"151",1,"run23",1,"Nigeria","NGA.12_1",30153,30153,0,54.1944,54.1944,0,54.1944,28213,1940
"152",1,"run23",2,"Nigeria","NGA.12_1",30100,30100,0,54.099,108.2934,0,108.2934,28213,1887
"153",1,"run23",3,"Nigeria","NGA.12_1",30096,30096,0,54.036,162.3294,0,162.3294,28213,1883
"154",1,"run23",4,"Nigeria","NGA.12_1",30135,30135,0,54.0918,216.4212,0,216.4212,28213,1922
"155",1,"run23",5,"Nigeria","NGA.12_1",30160,30160,0,54.1296,270.5508,0,270.5508,28213,1947
"156",1,"run23",6,"Nigeria","NGA.12_1",30152,30152,0,54.0882,324.639,0,324.639,28213,1939
"157",1,"run23",7,"Nigeria","NGA.12_1",30126,30126,0,54.1206,378.7596,0,378.7596,28213,1913
"158",1,"run23",8,"Nigeria","NGA.12_1",30061,30061,0,53.9298,432.6894,0,432.6894,28213,1848
"159",1,"run23",9,"Nigeria","NGA.12_1",30025,30025,0,53.9442,486.6336,0,486.6336,28213,1812
"160",1,"run23",10,"Nigeria","NGA.12_1",30147,30147,0,54.1854,540.819,0,540.819,28213,1934
"161",1,"run24",1,"Nigeria","NGA.12_1",30173,30173,0,54.135,54.135,0,54.135,28326,1847
"162",1,"run24",2,"Nigeria","NGA.12_1",30231,30231,0,54.2934,108.4284,0,108.4284,28326,1905
"163",1,"run24",3,"Nigeria","NGA.12_1",30194,30194,0,54.1242,162.5526,0,162.5526,28326,1868
