"country","who_region","classification","infections_mean","infections_min","infections_max","cases_mean","cases_min","cases_max","deaths_mean","deaths_min","deaths_max","dalys_mean","dalys_min","dalys_max"
"Gambia","Africa","Epidemic",18509.9681811069,0,49491.9645016374,9254.98409055347,0,24745.9822508187,13.9342168047686,0,38.0254301032767,735.290605043551,0,2030.54040431273
"Georgia","Europe","NoTransmission",0,0,0,0,0,0,0,0,0,0,0,0
"Germany","Europe","NoTransmission",0,0,0,0,0,0,0,0,0,0,0,0
"Ghana","Africa","Epidemic",204121.547145241,39488.880029784,438245.515312744,102060.773572621,19744.440014892,219122.757656372,147.484135996379,27.9598623517521,321.76857988599,7622.64232390773,1442.47107267805,16711.1196573648
"Greece","Europe","NoTransmission",0,0,0,0,0,0,0,0,0,0,0,0
"Guatemala","Americas","Endemic",169555.127906539,49392.7574261152,334874.089894328,84777.5639532696,24696.3787130576,167437.044947164,124.959451740571,35.4251297450592,255.069819317235,7215.6372011595,2004.32267112275,15068.4134488194
"Guinea","Africa","Epidemic",88037.7447462273,0,238807.405248363,44018.8723731136,0,119403.702624182,66.0471955632032,0,184.163517495971,3220.32183209251,0,9119.77589635958
"Guinea_Bissau_(Guinea-Bissau)","Africa","Epidemic",13863.805762957,0,38224.468436001,6931.90288147849,0,19112.2342180005,10.1318965008212,0,28.5654061198129,503.69859887329,0,1436.38798989004
"Guyana","Americas","Epidemic",4963.27979062207,0,14097.3580521044,2481.63989531103,0,7048.67902605221,3.59077056189662,0,10.4267962933284,181.956755077098,0,543.105869585941
"Haiti","Americas","Epidemic",68480.187436208,0,184555.305150172,34240.093718104,0,92277.6525750861,49.2579994897678,0,136.677669147263,2482.77728206704,0,7053.72828628056
"Honduras","Americas","Epidemic",61030.5251411555,0,167764.750341755,30515.2625705777,0,83882.3751708773,42.7755168271667,0,120.471338464947,2447.89499592521,0,6966.42388836308
"Hungary","Europe","NoTransmission",0,0,0,0,0,0,0,0,0,0,0,0
"Iceland","Europe","NoTransmission",0,0,0,0,0,0,0,0,0,0,0,0
